Date,Open,High,Low,Close
2015-04-30,0.9722,0.9864,0.9309,0.9333
2015-05-31,0.9331,0.9543,0.9073,0.9402
2015-06-30,0.94,0.9502,0.9152,0.93487
2015-07-31,0.935,0.9719,0.9331,0.9661
2015-08-31,0.9668,0.9903,0.9259,0.9669
2015-09-30,0.9669,0.9844,0.9528,0.97408
2015-10-31,0.9741,0.9957,0.9477,0.98768
2015-11-30,0.9858,1.0328,0.9837,1.0285
2015-12-31,1.02842,1.03076,0.9787,1.00195
2016-01-31,0.99989,1.02565,0.98808,1.0243
2016-02-29,1.02391,1.02505,0.9662,0.99797
2016-03-31,0.99797,1.00927,0.95717,0.96172
2016-04-30,0.96172,0.97961,0.94996,0.9595
2016-05-31,0.95858,0.99562,0.94444,0.99383
2016-06-30,0.99383,0.99511,0.9522,0.97639
2016-07-31,0.97638,0.995,0.96368,0.96922
2016-08-31,0.96875,0.98601,0.95375,0.98358
2016-09-30,0.98357,0.98849,0.96402,0.97143
2016-10-31,0.9704,0.9999,0.9704,0.9894
2016-11-30,0.9894,1.02051,0.95449,1.01687
2016-12-31,1.01687,1.03437,1.00212,1.01835
2017-01-31,1.01938,1.03352,0.98621,0.98958
2017-02-28,0.98958,1.01404,0.98708,1.00619
2017-03-31,1.00621,1.01706,0.98138,1.00163
2017-04-30,1.00263,1.01073,0.98938,0.99504
2017-05-31,0.99633,1.00999,0.967,0.96768
2017-06-30,0.96779,0.97704,0.9553,0.959
